product_category_name_english,total_gmv,order_count,avg_item_value,gmv_rank
health_beauty,1435578.68,8786,149.24,1
watches_gifts,1292261.61,5574,217.59,2
bed_bath_table,1239673.62,9392,111.79,3
sports_leisure,1142467.59,7653,133.37,4
computers_accessories,1046702.87,6636,134.85,5
furniture_decor,891957.76,6397,108.0,6
housewares,769629.39,5829,111.75,7
cool_stuff,701642.5,3609,186.11,8
auto,676626.81,3858,161.52,9
garden_tools,576355.04,3493,133.54,10
toys,552318.01,3840,135.8,11
baby,475745.73,2858,156.91,12
perfumery,448768.1,3135,132.38,13
telephony,388440.7,4166,86.15,14
office_furniture,339756.59,1269,201.64,15
stationery,273975.46,2294,109.59,16
pet_shop,252877.86,1704,130.35,17
computers,232799.43,181,1146.8,18
,210340.78,1444,131.63,19
musical_instruments,205558.11,618,310.51,20
electronics,203234.61,2541,73.82,21
small_appliances,199930.55,614,301.55,22
fashion_bags_accessories,182112.51,1850,90.33,23
consoles_games,173682.56,1050,154.94,24
luggage_accessories,170129.61,1028,156.66,25
construction_tools_construction,163479.43,741,177.5,26
home_appliances_2,121055.52,231,515.13,27
home_construction,96833.62,489,160.59,28
home_appliances,94771.3,762,123.24,29
furniture_living_room,86438.68,419,172.88,30
agro_industry_and_commerce,78374.07,182,369.69,31
home_confort,67073.27,397,154.55,32
air_conditioning,61436.57,251,208.26,33
fixed_telephony,59847.15,213,233.78,34
kitchen_dining_laundry_garden_furniture,57830.98,245,208.03,35
audio,56371.26,349,155.29,36
books_general_interest,54535.64,502,100.43,37
small_appliances_home_oven_and_coffee,50093.46,74,667.91,38
industry_commerce_and_business,47554.29,235,177.44,39
construction_tools_lights,47511.18,243,157.32,40
construction_tools_safety,42994.83,163,229.92,41
food,36197.11,444,71.82,42
market_place,33654.48,278,108.91,43
costruction_tools_garden,30781.89,192,131.55,44
fashion_shoes,28154.2,237,108.7,45
drinks,28100.75,296,74.34,46
signaling_and_security,27858.6,139,140.7,47
art,27837.55,199,138.5,48
furniture_bedroom,24433.03,94,226.23,49
books_technical,23079.28,259,86.76,50
food_drink,19585.58,224,71.22,51
costruction_tools_tools,17934.17,97,174.12,52
fashion_male_clothing,12691.28,109,98.38,53
christmas_supplies,11979.1,126,79.33,54
fashion_underwear_beach,11457.74,121,87.46,55
tablets_printing_image,8754.61,79,105.48,56
cine_photo,8189.66,65,113.75,57
music,6724.86,38,176.97,58
furniture_mattress_and_upholstery,5998.54,38,157.86,59
dvds_blu_ray,5804.37,57,93.62,60
party_supplies,5313.15,39,123.56,61
books_imported,5294.8,52,89.74,62
fashio_female_clothing,3320.22,38,70.64,63
fashion_sport,2657.55,26,91.64,64
la_cuisine,2388.54,13,170.61,65
arts_and_craftmanship,2184.14,23,91.01,66
diapers_and_hygiene,2101.25,26,55.3,67
flowers,1598.91,29,48.45,68
home_comfort_2,1170.58,24,39.02,69
cds_dvds_musicals,954.99,12,68.21,70
fashion_childrens_clothes,598.67,7,85.52,71
security_and_services,324.51,2,162.25,72
