order_month,monthly_gmv,order_count,avg_order_value,prev_month_gmv,mom_growth_pct
2016-09,136.23,1,136.23,,
2016-10,51244.91,291,176.1,136.23,37516.46
2016-12,19.62,1,19.62,51244.91,-99.96
2017-01,134491.67,778,172.87,19.62,685382.52
2017-02,276888.92,1685,164.33,134491.67,105.88
2017-03,419780.45,2594,161.83,276888.92,51.61
2017-04,399642.97,2366,168.91,419780.45,-4.8
2017-05,578655.4,3617,159.98,399642.97,44.79
2017-06,497162.32,3193,155.7,578655.4,-14.08
2017-07,577096.29,3935,146.66,497162.32,16.08
2017-08,656616.08,4254,154.35,577096.29,13.78
2017-09,699119.83,4204,166.3,656616.08,6.47
2017-10,760150.17,4527,167.91,699119.83,8.73
2017-11,1167255.03,7396,157.82,760150.17,53.56
2017-12,852805.32,5583,152.75,1167255.03,-26.94
2018-01,1097990.96,7158,153.39,852805.32,28.75
2018-02,978835.47,6618,147.91,1097990.96,-10.85
2018-03,1150469.09,7159,160.7,978835.47,17.53
2018-04,1154606.64,6911,167.07,1150469.09,0.36
2018-05,1144824.28,6827,167.69,1154606.64,-0.85
2018-06,1020494.29,6145,166.07,1144824.28,-10.86
2018-07,1039801.09,6232,166.85,1020494.29,1.89
2018-08,996896.15,6421,155.26,1039801.09,-4.13
2018-09,166.46,1,166.46,996896.15,-99.98
