customer_state,total_gmv,order_count,avg_order_value
SP,5847158.85,40988,142.66
RJ,2094048.03,12664,165.35
MG,1837417.33,11464,160.28
RS,875421.82,5402,162.06
PR,791263.89,4967,159.3
BA,604424.03,3333,181.35
SC,603580.92,3586,168.32
DF,350616.89,2113,165.93
GO,339115.22,1993,170.15
ES,322987.24,2016,160.21
PE,318206.87,1633,194.86
CE,272942.8,1318,207.09
PA,216898.95,967,224.3
MT,185566.74,901,205.96
MA,150691.7,736,204.74
PB,140060.2,529,264.76
MS,135382.33,705,192.03
PI,107021.32,487,219.76
RN,101748.02,481,211.53
AL,95813.4,408,234.84
SE,73032.32,345,211.69
TO,61006.87,277,220.24
RO,57126.06,244,234.12
AM,27846.44,147,189.43
AC,19680.62,81,242.97
AP,16141.81,67,240.92
RR,9948.97,45,221.09
